2018-12-14 11:33:49,195 | Snmp_Trap | INFO | Enterprise: 1.3.6.1.4.1.1602.4.3
2018-12-14 11:33:49,195 | Snmp_Trap | INFO | Agent Address: 192.168.12.57
2018-12-14 11:33:49,195 | Snmp_Trap | INFO | Generic Trap: coldStart
2018-12-14 11:33:49,195 | Snmp_Trap | INFO | Specific Trap: 0
2018-12-14 11:33:49,195 | Snmp_Trap | INFO | Uptime: 781
2018-12-14 11:33:49,196 | Snmp_Trap | INFO | Var-binds:
2018-12-14 17:02:38,381 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 17:02:38,381 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-19 13:25:50,077 | Snmp_Trap | INFO | Starting trap catching...
2018-12-19 13:25:50,327 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-19 13:26:02,887 | Snmp_Trap | INFO | Starting trap catching...
2018-12-19 13:26:02,887 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-19 13:27:32,508 | Snmp_Trap | INFO | Starting trap catching...
2018-12-19 13:27:32,508 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-19 13:28:52,273 | Snmp_Trap | INFO | Starting trap catching...
2018-12-19 13:28:52,273 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-19 13:28:52,273 | Snmp_Trap | ERROR | Another exception occuredbind() for ('', 162) failed: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступаcaused by <class 'OSError'>: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступа
2018-12-19 13:29:46,383 | Snmp_Trap | INFO | Starting trap catching...
2018-12-19 13:29:46,383 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-19 13:29:46,383 | Snmp_Trap | ERROR | Another exception occuredbind() for ('', 162) failed: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступаcaused by <class 'OSError'>: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступа
2018-12-19 13:31:57,066 | Snmp_Trap | INFO | Starting trap catching...
2018-12-19 13:31:57,066 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-19 13:31:57,066 | Snmp_Trap | ERROR | Another exception occuredbind() for ('', 162) failed: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступаcaused by <class 'OSError'>: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступа
2018-12-20 12:38:41,969 | Snmp_Trap | INFO | Starting trap catching...
2018-12-20 12:38:42,016 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-20 12:38:42,016 | Snmp_Trap | ERROR | Another exception occuredbind() for ('', 162) failed: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступаcaused by <class 'OSError'>: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступа
2018-12-20 12:38:54,359 | Snmp_Trap | INFO | Starting trap catching...
2018-12-20 12:38:54,359 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-20 12:38:54,359 | Snmp_Trap | ERROR | Another exception occuredbind() for ('', 162) failed: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступаcaused by <class 'OSError'>: [WinError 10013] Сделана попытка доступа к сокету методом, запрещенным правами доступа
2018-12-24 10:42:19,970 | Snmp_Trap | INFO | Starting trap catching...
2018-12-24 10:42:19,970 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-24 10:45:35,706 | Snmp_Trap | INFO | Starting trap catching...
2018-12-24 10:45:35,706 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-24 10:46:13,980 | Snmp_Trap | INFO | Starting trap catching...
2018-12-24 10:46:13,980 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-24 10:46:22,459 | Snmp_Trap | ERROR | Another exception occured'builtin_function_or_method' object has no attribute 'info'
2018-12-24 10:46:42,735 | Snmp_Trap | INFO | Starting trap catching...
2018-12-24 10:46:42,735 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-24 10:46:53,971 | Snmp_Trap | ERROR | Another exception occured'builtin_function_or_method' object has no attribute 'info'
2018-12-24 10:47:33,210 | Snmp_Trap | INFO | Starting trap catching...
2018-12-24 10:47:33,210 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-24 10:47:37,163 | Snmp_Trap | INFO | Starting trap catching...
2018-12-24 10:47:37,163 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
